iter	Passed	Remaining
821	2175	471
822	2179	468
823	2182	466
824	2188	464
825	2191	461
826	2208	462
827	2212	459
828	2218	457
829	2220	454
830	2241	455
831	2246	453
832	2248	450
833	2250	447
834	2253	445
835	2255	442
836	2257	439
837	2259	436
838	2261	434
839	2263	431
840	2265	428
841	2268	425
842	2271	423
843	2273	420
844	2276	417
845	2279	414
846	2282	412
847	2284	409
848	2286	406
849	2288	403
850	2290	401
851	2293	398
852	2296	395
853	2298	393
854	2301	390
855	2304	387
856	2307	385
857	2310	382
858	2312	379
859	2315	376
860	2317	374
861	2319	371
862	2322	368
863	2324	365
864	2327	363
865	2329	360
866	2332	357
867	2334	355
868	2337	352
869	2340	349
870	2342	346
871	2346	344
872	2348	341
873	2351	338
874	2354	336
875	2358	333
876	2361	331
877	2364	328
878	2367	325
879	2370	323
880	2373	320
881	2376	317
882	2385	316
883	2390	313
884	2392	310
885	2395	308
886	2398	305
887	2402	302
888	2404	300
889	2406	297
890	2408	294
891	2411	291
892	2414	289
893	2416	286
894	2419	283
895	2423	281
896	2425	278
897	2428	275
898	2432	273
899	2435	270
900	2439	268
901	2442	265
902	2444	262
903	2446	259
904	2449	257
905	2455	254
906	2457	252
907	2460	249
908	2465	246
909	2467	244
910	2470	241
911	2473	238
912	2477	236
913	2480	233
914	2484	230
915	2488	228
916	2491	225
917	2494	222
918	2498	220
919	2501	217
920	2503	214
921	2507	212
922	2510	209
923	2512	206
924	2515	203
925	2521	201
926	2524	198
927	2531	196
928	2538	194
929	2551	192
930	2553	189
931	2562	186
932	2570	184
933	2573	181
934	2576	179
935	2578	176
936	2582	173
937	2587	171
938	2590	168
939	2592	165
940	2596	162
941	2599	160
942	2603	157
943	2605	154
944	2607	151
945	2609	148
946	2611	146
947	2613	143
948	2615	140
949	2618	137
950	2620	135
951	2624	132
952	2627	129
953	2631	126
954	2633	124
955	2637	121
956	2641	118
957	2648	116
958	2650	113
959	2653	110
960	2655	107
961	2658	105
962	2661	102
963	2663	99
964	2666	96
965	2669	93
966	2672	91
967	2675	88
968	2679	85
969	2681	82
970	2684	80
971	2686	77
972	2688	74
973	2690	71
974	2693	69
975	2695	66
976	2697	63
977	2700	60
978	2704	58
979	2707	55
980	2709	52
981	2711	49
982	2714	46
983	2716	44
984	2719	41
985	2721	38
986	2723	35
987	2725	33
988	2729	30
